Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Año_trimestre,Total_real
2022,4,Buenos Aires,326,3,1,130,72,2022-10-01,532
2022,4,Capital Federal,139,1,139,5,32,2022-10-01,316
2022,4,Catamarca,9,11,47,1,2,2022-10-01,70
2022,4,Chaco,25,61,47,8,3,2022-10-01,144
2022,4,Chubut,45,74,10,31,9,2022-10-01,169
2022,4,Córdoba,152,457,367,62,11,2022-10-01,1049
2022,4,Corrientes,34,80,27,9,5,2022-10-01,155
2022,4,Entre Ríos,56,136,41,26,13,2022-10-01,272
2022,4,Formosa,14,17,13,18,227,2022-10-01,289
2022,4,Jujuy,18,52,43,4,1,2022-10-01,118
2022,4,La Pampa,8,61,25,20,1,2022-10-01,115
2022,4,La Rioja,6,54,19,6,32,2022-10-01,117
2022,4,Mendoza,38,78,147,28,2,2022-10-01,293
2022,4,Misiones,33,87,47,11,8,2022-10-01,186
2022,4,Neuquén,29,73,32,24,4,2022-10-01,162
2022,4,Río Negro,34,48,44,16,19,2022-10-01,161
2022,4,Salta,37,97,53,12,7,2022-10-01,206
2022,4,San Juan,39,23,12,22,8,2022-10-01,104
2022,4,San Luis,6,43,3,82,511,2022-10-01,645
2022,4,Santa Cruz,10,24,12,4,662,2022-10-01,712
2022,4,Santa Fe,164,412,249,44,19,2022-10-01,888
2022,4,Santiago Del Estero,14,81,15,7,3,2022-10-01,120
2022,4,Tierra Del Fuego,13,41,405,157,651,2022-10-01,1267
2022,4,Tucumán,69,21,169,4,527,2022-10-01,790
2022,3,Buenos Aires,340,3,1,127,70,2022-07-01,541
2022,3,Capital Federal,141,1,129,6,32,2022-07-01,309
2022,3,Catamarca,10,10,46,1,2,2022-07-01,69
2022,3,Chaco,27,62,45,8,2,2022-07-01,144
2022,3,Chubut,45,72,10,30,9,2022-07-01,166
2022,3,Córdoba,164,465,339,61,10,2022-07-01,1039
2022,3,Corrientes,37,77,19,7,5,2022-07-01,145
2022,3,Entre Ríos,60,133,37,26,13,2022-07-01,269
2022,3,Formosa,14,26,11,17,212,2022-07-01,280
2022,3,Jujuy,19,53,40,4,2,2022-07-01,118
2022,3,La Pampa,8,60,24,20,4,2022-07-01,116
2022,3,La Rioja,7,54,20,6,31,2022-07-01,118
2022,3,Mendoza,38,79,143,28,3,2022-07-01,291
2022,3,Misiones,36,89,39,11,8,2022-07-01,183
2022,3,Neuquén,29,76,29,27,1,2022-07-01,162
2022,3,Río Negro,36,48,41,17,19,2022-07-01,161
2022,3,Salta,40,97,50,10,7,2022-07-01,204
2022,3,San Juan,39,23,12,22,8,2022-07-01,104
2022,3,San Luis,7,29,248,71,15,2022-07-01,370
2022,3,Santa Cruz,10,24,11,4,582,2022-07-01,631
2022,3,Santa Fe,184,426,215,43,20,2022-07-01,888
2022,3,Santiago Del Estero,15,81,13,7,3,2022-07-01,119
2022,3,Tierra Del Fuego,13,40,403,125,651,2022-07-01,1232
2022,3,Tucumán,78,19,162,4,519,2022-07-01,782
2022,2,Buenos Aires,351,3,1,127,71,2022-04-01,553
2022,2,Capital Federal,145,1,122,6,32,2022-04-01,306
2022,2,Catamarca,12,9,42,1,2,2022-04-01,66
2022,2,Chaco,30,61,42,8,2,2022-04-01,143
2022,2,Chubut,45,69,10,30,9,2022-04-01,163
2022,2,Córdoba,179,468,309,61,10,2022-04-01,1027
2022,2,Corrientes,38,76,18,7,5,2022-04-01,144
2022,2,Entre Ríos,64,131,36,26,13,2022-04-01,270
2022,2,Formosa,15,25,10,17,212,2022-04-01,279
2022,2,Jujuy,20,54,34,4,2,2022-04-01,114
2022,2,La Pampa,8,59,23,20,1,2022-04-01,111
2022,2,La Rioja,8,53,19,6,31,2022-04-01,117
2022,2,Mendoza,38,78,136,27,2,2022-04-01,281
2022,2,Misiones,37,89,34,11,8,2022-04-01,179
2022,2,Neuquén,30,75,29,27,1,2022-04-01,162
2022,2,Río Negro,36,47,41,17,19,2022-04-01,160
2022,2,Salta,43,96,47,10,7,2022-04-01,203
2022,2,San Juan,39,20,12,22,8,2022-04-01,101
2022,2,San Luis,7,29,248,71,15,2022-04-01,370
2022,2,Santa Cruz,10,24,11,4,579,2022-04-01,628
2022,2,Santa Fe,198,428,190,43,20,2022-04-01,879
2022,2,Santiago Del Estero,17,80,12,7,3,2022-04-01,119
2022,2,Tierra Del Fuego,13,40,403,125,651,2022-04-01,1232
2022,2,Tucumán,86,15,149,4,487,2022-04-01,741
2022,1,Buenos Aires,392,3,1,126,67,2022-01-01,589
2022,1,Capital Federal,102,1,62,6,30,2022-01-01,201
2022,1,Catamarca,14,16,29,1,2,2022-01-01,62
2022,1,Chaco,32,65,37,8,2,2022-01-01,144
2022,1,Chubut,44,67,9,31,21,2022-01-01,172
2022,1,Córdoba,196,502,236,61,10,2022-01-01,1005
2022,1,Corrientes,40,79,11,7,5,2022-01-01,142
2022,1,Entre Ríos,67,139,23,26,13,2022-01-01,268
2022,1,Formosa,16,16,5,17,202,2022-01-01,256
2022,1,Jujuy,21,61,26,5,4,2022-01-01,117
2022,1,La Pampa,8,59,22,20,1,2022-01-01,110
2022,1,La Rioja,9,59,10,6,31,2022-01-01,115
2022,1,Mendoza,49,74,123,27,1,2022-01-01,274
2022,1,Misiones,39,92,25,8,8,2022-01-01,172
2022,1,Neuquén,28,73,24,23,745,2022-01-01,893
2022,1,Río Negro,39,45,38,17,18,2022-01-01,157
2022,1,Salta,45,99,41,6,7,2022-01-01,198
2022,1,San Juan,34,14,11,21,8,2022-01-01,88
2022,1,San Luis,8,11,31,72,29,2022-01-01,151
2022,1,Santa Cruz,11,23,11,4,405,2022-01-01,454
2022,1,Santa Fe,213,445,147,45,21,2022-01-01,871
2022,1,Santiago Del Estero,18,88,1,6,3,2022-01-01,116
2022,1,Tierra Del Fuego,13,39,416,124,340,2022-01-01,932
2022,1,Tucumán,93,62,86,4,487,2022-01-01,732
2021,4,Buenos Aires,426,3,1,127,73,2021-10-01,630
2021,4,Capital Federal,111,1,60,6,30,2021-10-01,208
2021,4,Catamarca,16,14,25,2,2,2021-10-01,59
2021,4,Chaco,36,63,35,8,2,2021-10-01,144
2021,4,Chubut,46,57,10,28,19,2021-10-01,160
2021,4,Córdoba,212,487,217,61,9,2021-10-01,986
2021,4,Corrientes,43,71,10,7,5,2021-10-01,136
2021,4,Entre Ríos,70,133,23,25,13,2021-10-01,264
2021,4,Formosa,17,15,5,16,172,2021-10-01,225
2021,4,Jujuy,22,61,24,3,4,2021-10-01,114
2021,4,La Pampa,8,58,20,19,1,2021-10-01,106
2021,4,La Rioja,10,57,9,7,31,2021-10-01,114
2021,4,Mendoza,60,72,110,25,2,2021-10-01,269
2021,4,Misiones,42,92,22,8,8,2021-10-01,172
2021,4,Neuquén,29,73,23,22,746,2021-10-01,893
2021,4,Río Negro,42,44,32,17,18,2021-10-01,153
2021,4,Salta,47,100,40,6,7,2021-10-01,200
2021,4,San Juan,36,13,11,11,8,2021-10-01,79
2021,4,San Luis,8,11,30,71,29,2021-10-01,149
2021,4,Santa Cruz,11,23,10,4,417,2021-10-01,465
2021,4,Santa Fe,233,444,129,44,16,2021-10-01,866
2021,4,Santiago Del Estero,19,87,1,6,3,2021-10-01,116
2021,4,Tierra Del Fuego,13,38,426,124,342,2021-10-01,943
2021,4,Tucumán,98,59,79,3,486,2021-10-01,725
2021,3,Buenos Aires,586,3,886,120,65,2021-07-01,1660
2021,3,Capital Federal,143,1,43,6,29,2021-07-01,222
2021,3,Catamarca,18,12,22,2,2,2021-07-01,56
